Scientific Name,Trees_of_pune Page. Nos_.,Family,Local Name,Country,Wikipedia Link,Photo,Occasional/ Rare/ Common,Leaf Type,Leaf Attachment,Leaf Shape,Flower size,Fruit size,Canopy shape,Medicinal value of tree,Other uses of tree,local name in devnagari script
capparis grandis,19,Capparaceae,Pachunda,India-Pune,,yes,occasional,Simple,Alternate,Elliptic,3 cm,2 cm,conical,,,
diospyros buxifolia,19,Ebenaceae,Striped Ebony,India-South India,,no,occasional,Simple,Alternate,Elliptic,,2 cm,globular,,,
anogeissus acuminata,20,Combretaceae,Maha Dhawda,India-Rajasthan,,yes,occasional,Simple,Alternate,Elliptic,,1cm,irregular,,,
anogeissus sericea,20,Combretaceae,,,,yes,occasional,Simple,Alternate,Elliptic,,,,,,
citrofortunella mitis,20,Rutaceae,Mandarin Orange,China,,yes,occasional,Simple,Alternate,Elliptic,1cm,3-4 cm,irregular,,,
ficus benjamina,21,Moraceae,Nuda,India,,yes,common,Simple,Alternate,Elliptic,,,spreading,,,
ficus benjamina var. nuda,21,Moraceae,Benjamina,India,,no,occasional,Simple,Alternate,Elliptic,,,spreading,,,
anogeissus latifolia,22,Combretaceae,Dhawda,India-Pune,,yes,occasional,Simple,Alternate,Elliptic,2cm,1cm,irregular,,,
ficus microcarpa,22,Moraceae,Nandruk,India,,yes,common,Simple,Alternate,Elliptic,,,spreading,,,
grewia flavescens,23,Tiliaceae,Khatkhati,India-Pune,,yes,occasional,Simple,Alternate,Elliptic,1cm,4cm,trailing,,,
manilkara zapota,23,Sapotaceae,Chikkoo,West Indies,,yes,common,Simple,Alternate,Elliptic,,5-8cm,globular,,,
flacourtia latifolia,24,Flacourtiaceae,Tambat,India-Pune,,yes,occasional,Simple,Alternate,Elliptic,5cm,1cm,erect,,,
flacourtia montana,24,Flacourtiaceae,Tambat,India-Pune,,yes,occasional,Simple,Alternate,Elliptic,,,erect,,,
glochidion ellipticum,24,Euphorbiaceae,Bhoma,India-Pune,,no,occasional,Simple,Alternate,Elliptic,,1cm,erect,,,
annona reticulata,25,Annonaceae,Sitaphal,West Indies,,yes,Rare,Simple,Alternate,Elliptic,3 cm,5-10cm,oval,,,
annona squamosa,25,Annonaceae,Ramphal,West Indies,,yes,occasional,Simple,Alternate,Elliptic,3 cm,5-10cm,oval,,,
ehretia aspera,25,Boraginaceae,,India,,yes,occasional,Simple,Alternate,Elliptic,8-10cm,6-8cm,spreading,,,
ehretia laevis,25,Boraginaceae,Ajaan,India,,no,Rarel,Simple,Alternate,Elliptic,8-10cm,6-8cm,spreading,,,
ficus amplissima,26,Moraceae,Pipri,India-Pune,,no,occasional,Simple,Alternate,Elliptic,,,oval,,,
ficus virens,26,Moraceae,Payar,India,,yes,occasional,Simple,Alternate,Elliptic,,,oval,,,
eriobotrya japonica,27,Rosaceae,Loquat,China,,yes,occasional,Simple,Alternate,Elliptic,2cm,3-5cm,irregular,,,
mimusops elengi,27,Sapotaceae,Bakul,India,,yes,Rare,Simple,Alternate,Elliptic,2-6cm,2-3cm,oval,,,
anacardium occidentale,28,Anacardiaceae,Kaju,America,,yes,occasional,Simple,Alternate,Elliptic,15-16cm,3cm,spreading,,,
ficus racemosa,28,Moraceae,Umbar,India-Pune,,yes,common,Simple,Alternate,Elliptic,,,erect,,,
cananga odorata,29,Annonaceae,Ylang-Ylang,Indonesia,,yes,Rare,Simple,Alternate,Elliptic,5-8cm,1-2cm,erect,,,
citrus limon,29,Rutaceae,Idlimbu,China,,yes,occasional,Simple,Alternate,Elliptic,2-3cm,5-10cm,erect,,,
citrus sinensis,29,Rutaceae,,China,,yes,occasional,Simple,Alternate,Elliptic,2-3cm,5-10cm,erect,,,
holoptelea integrifolia,30,Ulmaceae,Wawal,India-Pune,,no,common,Simple,Alternate,Elliptic,,2-3cm,erect,,,
Myristica fragrans,30,Myristicaceae,Jayphal,Molluccas,,yes,Rare,Simple,Alternate,Elliptic,1cm,3-5cm,spreading,,,
excoecaria bussei,31,Euphorbiaceae,Ballon Tree,Africa,,no,Rare,Simple,Alternate,Elliptic,5-8cm,5-8cm,irregular,,,
ochna obtusata,31,Ochnaceae,Kanak Champa,India-Kokan,,yes,Rare,Simple,Alternate,Elliptic,3-5cm,3-6cm,irregular,,,
bridelia retusa,32,Euphorbiaceae,Asana,India-Pune,,yes,occasional,Simple,Alternate,Elliptic,,8mm,irregular,,,
pterospermum xylocarpum,32,Sterculiaceae,Muchkunda,India-Karnataka,,no,Rare,Simple,Alternate,Elliptic,3-5cm,3-5cm,erect,,,
artocarpus heterophyllus,33,Moraceae,Phanas,South East  Asia,,yes,common,Simple,Alternate,Elliptic,,30-60cm,spreading,,,
artocarpus hirsutus,33,Moraceae,,India-Kokan,,yes,occasional,Simple,Alternate,Elliptic,,30-60cm,spreading,,,
ficus exasperata,33,Moraceae,Kharwat,India-Pune,,yes,occasional,Simple,Alternate,Elliptic,,,irregular,,,
alseodaphne semecarpifolia,34,Lauraceae,Phudgus,India-Kokan,,yes,Rare,Simple,Alternate,Elliptic,10-20cm,1-2cm,irregular,,,
talauma mutabilis (did not find the name),34,Magnoliaceae,Kavthi Chafa,South East  Asia,,yes,,Simple,Alternate,Elliptic,,,,,,
hydnocarpus pentandra,35,Flacourtiaceae,Kadukawath,India-Kokan,,yes,Rare,Simple,Alternate,Elliptic,1cm,5cm,oval,,,
michelia champaca,35,Magnoliaceae,Sonchafa,Malaysia,,yes,common,Simple,Alternate,Elliptic,4-6cm,4-6cm,conical,,,
persea americana,36,Lauraceae,Avacado,South America,,yes,occasional,Simple,Alternate,Elliptic,5-10cm,5-10cm,irregular,,,
persea americana var drymifolia,36,Lauraceae,,South America,,yes,occasional,Simple,Alternate,Elliptic,6-10cm,6-10cm,irregular,,,
suregada multiflora,36,Euphorbiaceae,False Lime,India-North East,,yes,Rare,Simple,Alternate,Elliptic,1cm,2-3cm,conical,,,
citrus aurantium,37,Rutaceae,,South East  Asia,,yes,occasional,Simple,Alternate,Elliptic,2-3cm,10-20cm,conical,,,
citrus maxima,37,Rutaceae,Papnas,South East  Asia,,yes,occasional,Simple,Alternate,Elliptic,3-3cm,11-20cm,conical,,,
elaeocarpus sphaericus,37,Elaeocarpaceae,Rudraksha,India-Himalayas,,yes,Rare,Simple,Alternate,Elliptic,3-5cm,3-5cm,irregular,,,
ficus elastica,38,Moraceae,Rubber Tree,India-Assam,,yes,common,Simple,Alternate,Elliptic,,,spreading,,,
terminalia bellirica,38,Combretaceae,Beheda,India-Pune,,yes,Rare,Simple,Alternate,Elliptic,10-15cm,1-3cm,globular,,,
terminalia chebula,38,Combretaceae,Beheda,India-Pune,,yes,occasional,Simple,Alternate,Elliptic,11-15cm,2-3cm,globular,,,
artocarpus lacucha,39,Moraceae,Bread-fruit Tree,India-Kokan,,yes,occasional,Simple,Alternate,Elliptic,3 cm,5cm,spreading,,,
theobroma cacao,39,Sterculiaceae,Cocoa,South America,,yes,Rare,Simple,Alternate,Elliptic,1cm,15-20cm,irregular,,,
brugmansia arborea (*** Colour of brugmansia suaveolens),40,Solanaceae,Trumpet Tree,South America,,yes,occasional,Simple,Alternate,Elliptic,15-25cm,10-20cm,irregular,,,
datura arborea,40,,,,,yes,occasional,Simple,Alternate,Elliptic,15-25cm,10-20cm,irregular,,,
manilkara sp,40,Sapotaceae,Zapota,,,yes,Rare,Simple,Alternate,Elliptic,,,vase shaped,,,
dillenia indica,41,Dilleniaceae,Motha Karmal,India-Kokan,,yes,Rare,Simple,Alternate,elliptic,8-10cm,7-10cm,globular,,,
muntingia calabura,41,Tiliaceae,Singapore Cherry,South America,,yes,common,Simple,Alternate,lanceolate,1-2cm,8mm,spreading,,,
jacquinia ruscifolia,42,Theophrastaceae,Jacquinia,Central America,,yes,Rare,Simple,Alternate,lanceolate,1cm,1-2cm,globular,,,
trema orientalis,42,Ulmaceae,Gol,India-Pune,,yes,occasional,Simple,Alternate,lanceolate,2-3cm,4mm,spreading,,,
madhuca longifolia var. longifolia,43,Sapotaceae,Moha,India-Pune,,yes,occasional,Simple,Alternate,lanceolate,3-5cm,5cm,oval,,,
madhuca latifolia var. latifolia,43,Sapotaceae,,India-Pune,,yes,occasional,Simple,Alternate,lanceolate,4-5cm,6cm,oval,,,
salix tetrasperma,43,Salicaceae,Walunj,India-Pune,,yes,Rare,Simple,Alternate,lanceolate,5-12m,3-4 cm,trailing,,,
couroupita guianensis,44,Lecythidaceae,Kailaspati,Trinida and Tropical America,,yes,occasional,Simple,Alternate,lanceolate,5-8cm,15cm,oval,,,
polyalthia longifolia,44,Annonaceae,Ashok,Sri Lanka,,yes,common,Simple,Alternate,lanceolate,1-2cm,2-3cm,erect,,,
polyalthia longifolia var. angustifolia,44,Annonaceae,Ashok,Sri Lanka,,yes,common,Simple,Alternate,lanceolate,1-2cm,2-3cm,erect,,,
emblica officinalis,45,Euphorbiaceae,Awala,India-Pune,,yes,common,Simple,Alternate,linear,,2-3cm,oval,,,
guazuma ulmifolia,45,Sterculiaceae,Rudrakshi,Tropical America,,yes,occasional,Simple,Alternate,lanceolate,1cm,3cm,erect,,,
casuarina equisetifolia,46,Casuarinaceae,Suru,Australia,,yes,common,Simple,Alternate,linear,2cm,2-3cm,erect,,,
dracaena fragrans,46,Agavaceae,Dracaena,Africa,,yes,common,Simple,Alternate,linear,1cm,1-2cm,erect,,,
dracaena sp.,46,Agavaceae,,Africa,,yes,common,Simple,Alternate,linear,1cm,1-2cm,erect,,,
beaucarnea recurvata,47,Agavaceae,Elephant's foot palm,Mexico,,yes,occasional,Simple,Alternate,linear,,,erect,,,
nolina recurvata,47,,,,,yes,occasional,Simple,Alternate,linear,,,erect,,,
yucca aloifolia,47,Agavaceae,Yucca,West Indies,,yes,occasional,Simple,Alternate,linear,3-5cm,,erect,,,
nopalea cochenillifera,48,Cactaceae,Nopal Cactus,Mexico,,yes,occasional,Simple,Alternate,linear,8cm,3-5cm,erect,,,
pandanus odoratissimus,48,Pandanaceae,Kevada,India,,no,occasional,Simple,Alternate,linear,5-10cm,15-25cm,irregular,,,
euphorbia lactea,49,Euphorbiaceae,Candelabra Plant,India,,yes,occasional,Simple,Alternate,linear,,,erect,,,
euphorbia tirucalli,49,Euphorbiaceae,Sher,Africa,,yes,occasional,Simple,Alternate,linear,5-10cm,1cm,irregular,,,
bauhinia hookeri,50,Caesalpiniceae,Mountain Ebony,Australia,,no,Rare,Simple,Alternate,lobed,5-8cm,,irregular,,,
bauhinia racemosa,50,Caesalpiniceae,Apta,India-Pune,,yes,occasional,Simple,Alternate,lobed,1-2cm,,irregular,,,
bauhinia tomentosa,51,Caesalpiniceae,Pivla Kanchan,India,,yes,occasional,Simple,Alternate,lobed,10-12cm,,irregular,,,
bauhinia variegata,51,Caesalpiniceae,Kanchan,India,,yes,occasional,Simple,Alternate,lobed,6cm,,irregular,,,
jatropha curcas,52,Euphorbiaceae,Mogli Erand,India-Pune,,yes,occasional,Simple,Alternate,lobed,5-10cm,3cm,vase shaped,,,
pterospermum canescens,52,Sterculiaceae,Muchkunda,India-Karnataka,,no,Rare,Simple,Alternate,lobed,5-7cm,3-6cm,oval,,,
bauhinia blakeana,53,Caesalpiniceae,Kanchan Raj,Hong Kong,,yes,occasional,Simple,Alternate,lobed,8-12cm,,spreading,,,
bauhinia monandra,53,Caesalpiniceae,Orchid Tree,Burma,,yes,Rare,Simple,Alternate,lobed,5cm,,spreading,,,
bauhinia purpurea,54,Caesalpiniceae,Gulabi Kanchan,India-Pune,,yes,occasional,Simple,Alternate,lobed,5-8cm,,irregular,,,
bauhinia roxburghii (Difference in name),54,Caesalpiniceae,Roxburgh's Bauhinia,India,,no,Rare,Simple,Alternate,lobed,2cm,,oval,,,
firmiana colorata,55,Sterculiaceae,Kaushi,India-Kokan,,no,Rare,Simple,Alternate,lobed,2cm,4-6cm,oval,,,
kydia calycina,55,Malvaceae,Warang,India-Pune,,no,occasional,Simple,Alternate,lobed,1cm,,irregular,,,
cochlospermum religiosum,56,Cochlospermaceae,Ganer,India-Pune,,yes,occasional,Simple,Alternate,lobed,10-12cm,5-10cm,erect,,,
dombeya acutangula,56,Sterculiaceae,Dombeya,Africa,,yes,occasional,Simple,Alternate,lobed,1-2cm,1cm,irregular,,,
dombeya wallichii,56,Sterculiaceae,,Africa,,yes,occasional,Simple,Alternate,lobed,1-2cm,1cm,irregular,,,
hibiscus mutabilis,57,Malvaceae,Bhendi Gulab,China,,yes,occasional,Simple,Alternate,lobed,10-12cm,2 cm,oval,,,
solanum erianthum,57,Solanaceae,,India-Pune,,yes,occasional,Simple,Alternate,lobed,2cm,1cm,spreading,,,
solanum torvum,57,Solanaceae,Kutri,India-Pune,,yes,occasional,Simple,Alternate,lobed,2cm,1cm,spreading,,,
broussonetia papyrifera,58,Moraceae,Paper Mulberry,South East  Asia,,yes,occasional,Simple,Alternate,lobed,5-10cm,2-3cm,trailing,,,
